,area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,owner,financier,mep_consultant,interior_designer,project_manager,engineering_consultant,hotel_operator,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,height,date_launched,estimated_handover_date,construction_started,revised_estimated_handover_date,caption,photo_url
96,Business Bay,Business Bay,Millennium Binghatti Residences,Under development,https://propsearch.ae/dubai/millennium-binghatti-residences,"25°10 51""N 55°16 8.8""E",Binghatti Developers,Eng. Adnan Saffarini,Granada Europe Engineering Contracting Co.,,,,,,,,,Residential building,Business Bay,Under development,24,High-rise building,230,113 studios58 one-bedroom apartments59 two-bedroom apartments,,,March 2018,Q4 2019,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/millennium-binghatti-residences-28556_xl.jpg
98,Business Bay,Business Bay,Moon Tower,Under development,https://propsearch.ae/dubai/moon-tower,"25°11 3.5""N 55°17 5.1""E",Arabia Group Investment Limited,Chawla Architectural & Consulting Engineers,,,,,,,,,,Residential building,Business Bay,Under development,20,High-rise building,255,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,,2007,,2009,Q4 2016,update May 2021,https://static.propsearch.ae/dubai-locations/moon-tower-28532_xl.jpg
99,Business Bay,Business Bay,Mövenpick Hotel & Living,Under development,https://propsearch.ae/dubai/movenpick-hotel-living,"25°11 19.6""N 55°16 13.1""E",SAAS Properties,National Engineering Bureau,Kele Contracting,,,,,,,,,Residential building,Business Bay,Under development,36,Skyscraper,403,,,,,Q4 2016,2015,,update May 2021,https://static.propsearch.ae/dubai-locations/movenpick-hotel-apartments-business-bay-28626_xl.jpg
108,Business Bay,Business Bay,Nobles Residential Tower,Under development,https://propsearch.ae/dubai/nobles-residential-tower,"25°11 4.5""N 55°17 24.8""E",Tiger Properties,LACASA Architects & Engineering Consultants,Tiger International General Contracting,,,,,,,,,Residential building,Business Bay,Under development,53,Skyscraper,549,278 one-bedroom apartments239 two-bedroom apartments32 three-bedroom apartments,2,,September 2017,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/nobles-residential-tower-28522_xl.jpg
110,Business Bay,Business Bay,Marble Arch Tower,Under development,https://propsearch.ae/dubai/marble-arch-tower,"25°10 46.8""N 55°15 53.9""E",,DXB Design Studio,Modern Executive Systems Contracting,Geo Foundation Group,,,,,,,,Residential building,Business Bay,Under development,,,,,,,,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/marble-arch-tower-28563_xl.jpg
118,Business Bay,Business Bay,Mama Shelter Dubai,Under development,https://propsearch.ae/dubai/mama-shelter-dubai,"25°10 48.3""N 55°16 18.9""E",Kappa Acca Real Estate Development,Franklin Azzi Architecture,CRC Engineering Company LLC,TMF Euro Foundations,Khamas Group of Investment Companies,,,,,,,Mixed-use building,Business Bay,Under development,25,Skyscraper,201,,3,,May 2017,2020,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/mama-shelter-dubai-28548_xl.jpg
121,Business Bay,Business Bay,Lillian Tower,Under development,https://propsearch.ae/dubai/lillian-tower,"25°11 14.3""N 55°15 45.4""E",Marya Investments,,,,,,,,,,,Mixed-use building,Business Bay,Under development,30,Skyscraper,583,,3,,2007,2016,,,update May 2021,https://static.propsearch.ae/dubai-locations/lillian-tower-28578_xl.jpg
133,Business Bay,Business Bay,AG Tower Business Bay,Under development,https://propsearch.ae/dubai/ag-tower-business-bay,"25°10 47.6""N 55°16 8.9""E",Arabian Gulf Properties,CVTEC Consulting Engineers,Beijing Emirates International Construction Co.,,,Emirates NBD,City Compass Electromechanical,,,,,Residential building,Business Bay,Under development,29,Skyscraper,437,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,,2015,,2016,,update May 2021,https://static.propsearch.ae/dubai-locations/ag-tower-business-bay-28560_xl.jpg
134,Business Bay,Business Bay,Ahad Residences,Under development,https://propsearch.ae/dubai/ahad-residences,"25°11 12""N 55°15 57.6""E",Mercury Investment Holding,VX Architects,Evan Lim Penta Construction LLC,,,,,Opaal,,,,Residential building,Business Bay,Under development,31,Skyscraper,,,5,,2017,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/ahad-residences-28628_xl.jpg
140,Business Bay,Business Bay,Paramount Tower Hotel & Residences,Under development,https://propsearch.ae/dubai/paramount-tower-hotel-residences,"25°11 36.3""N 55°15 55.3""E",Damac Properties,LACASA Architects & Engineering Consultants,,,,,,,,,,Mixed-use building,Business Bay,Under development,66,Skyscraper,826,,,,September 2014,Q3 2019,2015,,update May 2021,https://static.propsearch.ae/dubai-locations/paramount-tower-hotel-residences-28638_xl.jpg
