area,sub_area,project,status,url,coordinates,developer,architectural_consultant,piling_contractor,contractor,owner,project_manager,financier,cost_consultant,interior_designer,sustainability_consultant,mep_consultant,hotel_operator,engineering_consultant,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,construction_started,estimated_handover_date,revised_estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 14,Park View Tower,Under development,https://propsearch.ae/dubai/park-view-tower,"25°3 15.1""N 55°12 10.5""E",Revi Real Estate Development LLC,National Engineering Bureau,,,,,,,,,,,,Mixed-use building,JVC District 14,Under development,24,High-rise building,278,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,2015,2015,,,update January 2021,https://static.propsearch.ae/dubai-locations/park-view-tower-26439_xl.jpg
Jumeirah Village Circle,JVC District 13,Park Vista,Under development,https://propsearch.ae/dubai/park-vista,"25°3 5.8""N 55°12 32.2""E",Imran Haroon & Zeeshan Haroon,Em Square Engineering Consultants,Rabat Foundation,,,,,,,,,,,Residential building,JVC District 13,Under development,5,Mid-rise building,,,,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/park-vista-26416_xl.jpg
Jumeirah Village Circle,JVC District 13,Penrose Place,Under development,https://propsearch.ae/dubai/penrose-place,"25°3 8.5""N 55°12 42.5""E",Falgris Holding Limited,Design House Engineering Consultancy,,Aroma International Building Contractors,,,,,,,,,,Residential building,JVC District 13,Under development,6,Mid-rise building,,,1,,2019,,,update January 2021,https://static.propsearch.ae/dubai-locations/penrose-place-26390_xl.jpg
Jumeirah Village Circle,JVC District 10,Naples by Giovanni Boutique Suites,Under development,https://propsearch.ae/dubai/naples-by-giovanni-boutique-suites,"25°3 48""N 55°12 32""E",Arthur & Hardman Real Estate Development LLC,Mimar Emirates Engineering Consultants,SPF Soiltec,,Huston International Holdings Limited,Syneroy Project Management,,,,,,,,Mixed-use building,JVC District 10,Under development,11,High-rise building,,,4,September 2017,2018,,,update July 2020,https://static.propsearch.ae/dubai-locations/naples-by-giovanni-boutique-suites-21694_xl.jpg
Jumeirah Village Circle,JVC District 14,O2 Tower,Under development,https://propsearch.ae/dubai/o2-tower,"25°2 47.6""N 55°12 18.8""E",Tiger Properties,National Engineering Bureau,,Tiger International General Contracting,Waleed Mohammed Mohammed,,,,,,,,,Residential building,JVC District 14,Under development,38,Skyscraper,,,3,September 2017,2018,Q4 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/o2-tower-26423_xl.jpg
Jumeirah Village Circle,JVC District 11,Olive Residence,Under development,https://propsearch.ae/dubai/olive-residence,"25°3 59.8""N 55°12 59.5""E",AKA International,Ridge Engineering Consultants,,Dubai Walls Constructions,Mr Hadeer Maimaitili,,,,,,,,,Residential building,JVC District 11,Under development,5,Mid-rise building,,,1,,,Q1 2021,,update January 2021,https://static.propsearch.ae/dubai-locations/aka-5-storey-residential-building-26346_xl.jpg
Jumeirah Village Circle,JVC District 15,Oxford Boulevard,Under development,https://propsearch.ae/dubai/oxford-boulevard,"25°3 31.3""N 55°11 58.2""E",Iman Developers,Em Square Engineering Consultants,,CJ Tec Contracting,,,,,,,,,,Residential building,JVC District 15,Under development,6,Mid-rise building,,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,2019,2019,September 2021,,update January 2021,https://static.propsearch.ae/dubai-locations/oxford-boulevard-26457_xl.jpg
Jumeirah Village Circle,JVC District 17,Amina Residence 2,Under development,https://propsearch.ae/dubai/amina-residence-2,"25°3 37.3""N 55°12 57.2""E",Ahdaaf Real Estate Development,JIM Engineering Consultants,,Cast Construction LLC,,,,,,,,,,Mixed-use building,JVC District 17,Under development,20,High-rise building,,,,2015,2015,,,update January 2021,https://static.propsearch.ae/dubai-locations/amina-residence-2-26353_xl.jpg
Jumeirah Village Circle,JVC District 11,Apparel Group Building,Under development,https://propsearch.ae/dubai/apparel-group-building,"25°4 0.4""N 55°12 40.1""E",Apparel Group,Federal Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 11,Under development,11,High-rise building,,,,2016,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/apparel-group-building-9056_xl.jpg
Jumeirah Village Circle,JVC District 14,Aria Residence,Under development,https://propsearch.ae/dubai/aria-residence,"25°2 47.1""N 55°12 1.9""E",Grovy Real Estate Development LLC,Next Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 14,Under development,,,,,,2019,Q1 2019,October 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/aria-residence-26430_xl.jpg
